parasite,falciparum,vivax,vivax_tmp,References_Test
dd,5,5,5,1
dt,5,1,1,1
da,195,10,10,1
du,110,NA,110,1
del,6.64,6.64,6.64,1
dl,3.72,3.72,3.72,1
dpl,0.643,0.643,0.643,1
mup,0.249,0.249,0.249,1
mum,0.132,0.132,0.132,1
du_max,NA,70,70,1
du_min,NA,10,10,1
ku,NA,4.602,4.602,1
au50,NA,9.9,9.9,1
rm,67.6952,35.148,35.148,1
rvm,76.8365,NA,76.8365,1
rb,3650,NA,3650,1
rva,10950,NA,10950,1
rc,10950,10950,10950,1
rid,3650,3650,3650,1
b0,0.59,NA,0.59,1
b1,0.5,NA,0.5,1
ib0,43.9,NA,43.9,1
kb,2.16,NA,2.16,1
b,NA,0.5,0.5,1
phi0,0.792,0.8605,0.8605,1
phi1,0.00074,0.020918070889018,0.020918070889018,1
ic0,18.02366,11.538,11.538,1
kc,2.36949,2.25,2.25,1
theta0,0.0749886,NA,0.0749886,1
theta1,0.0001191,NA,0.0001191,1
kv,2.00048,NA,2.00048,1
fv0,0.141195,NA,0.141195,1
av,2493.41,NA,2493.41,1
gammav,2.91282,NA,2.91282,1
iv0,1.09629,NA,1.09629,1
fd0,0.007055,NA,0.007055,1
ad,7993.5,NA,7993.5,1
gammad,4.9183,NA,4.9183,1
d0,NA,0.8918,0.8918,1
d1,0.160527,0.00482170890334156,0.00482170890334156,1
id0,1.577533,27.52,27.52,1
kd,0.476614,2.403,2.403,1
ub,7.2,NA,7.2,1
uc,6.06,7.85,7.85,1
uv,11.4321,NA,11.4321,1
ud,9.44512,19.77,19.77,1
cd,0.068,0.8,0.8,1
gamma1,1.82425,NA,1.82425,1
cu,0.0062,0.035,0.035,1
ct,0.021896,0.4,0.4,1
ca,NA,0.1,0.1,1
a0,2920,2920,2920,1
rho,0.85,0.85,0.85,1
sigma_squared,1.67,1.29,1.29,1
n_heterogeneity_groups,5,5,5,1
de,12,10,10,1
delay_gam,12.5,0,0,1
dem,10,8.4,8.4,1
pcm,0.774368,0.421,0.421,1
pvm,0.195768,NA,0.195768,1
init_ica,0,0,0,1
init_iva,0,NA,0,1
init_icm,0,0,0,1
init_ivm,0,NA,0,1
init_id,0,0,0,1
init_idm,NA,0,0,1
init_ib,0,NA,0,1
f,NA,0.024,0.024,1
gammal,NA,0.0026,0.0026,1
,,,,69
