"u_par","phi_LM_max","phi_LM_min","A_LM_50pc","K_LM","u_clin","phi_D_max","phi_D_min","A_D_50pc","K_D","A_d_PCR_50pc","K_d_PCR","d_PCR_max","d_LM","P_MI","d_MI","loglike"
41.5646,0.92125,0.011705,17.1342,3.0309,3.2632,0.963217,0.0178182,20.6571,4.36502,8.92134,3.63738,53.5383,19.482,0.42832,33.1504,-9552.21
48.4187,0.953163,0.0118227,15.6884,3.06541,5.66213,0.982276,0.0217065,20.0327,5.90443,9.85081,3.18342,57.1618,18.0805,0.869783,21.232,-9551.54
42.785,0.978497,0.00780436,16.8483,2.93572,3.88463,0.965402,0.0138215,22.3996,6.01964,7.50117,2.94836,53.9136,17.0508,0.540076,34.6732,-9551.21
37.9267,0.924823,0.0120531,19.5084,3.19995,5.20299,0.997776,0.0108239,21.9331,5.59551,9.06259,3.04962,60.6573,16.1953,0.310574,76.6219,-9554.93
39.7746,0.894494,0.0101753,17.9819,2.99566,4.87381,0.975633,0.0134916,23.1893,4.43586,6.81062,3.68267,87.2728,18.1353,0.518519,22.0715,-9550.98
42.9996,0.946734,0.0187295,18.588,3.6518,3.51237,0.964427,0.0175098,18.4211,2.45291,9.30592,6.3592,54.3363,15.2107,0.144395,66.6447,-9553.99
34.222,0.789545,0.0112618,21.391,3.02242,3.9239,0.970776,0.00798612,26.8159,7.43928,11.0417,5.76176,50.3456,15.6145,0.326372,61.1648,-9562.41
42.4099,0.894349,0.0130311,18.407,3.43199,2.47255,0.831787,0.0109058,28.4105,3.39859,11.7857,3.52302,41.7298,17.6558,0.0516137,75.4171,-9555.06
44.8585,0.957369,0.00961911,16.3558,2.93197,3.63945,0.956832,0.00922845,23.5963,5.9826,7.85279,3.73407,53.196,16.3797,0.0937355,78.4498,-9554.24
40.2778,0.969252,0.0104932,17.3827,2.9372,3.60201,0.936763,0.0340247,18.7823,3.25134,9.20814,6.09061,69.4293,16.185,0.132806,57.2208,-9557.88
41.7921,0.85283,0.0130081,19.093,3.39553,4.39791,0.936952,0.0122227,24.1284,5.97543,6.922,3.72875,55.2919,16.7501,0.429566,39.4188,-9549
51.5238,0.980383,0.0171411,15.7581,3.55305,4.53267,0.929114,0.0159351,20.8613,4.79453,10.162,3.52445,45.6233,16.588,0.318252,42.5783,-9549.43
38.7497,0.931572,0.0111076,18.1004,3.02007,3.58451,0.967139,0.011628,24.8868,5.81371,10.7757,3.81396,45.1823,16.1779,0.324985,47.9579,-9549.82
42.4811,0.900852,0.0107508,17.2313,3.03137,5.17891,0.883436,0.0120409,24.068,6.12095,11.4194,3.95563,60.3805,17.2924,0.381816,29.6942,-9546.96
50.5578,0.856844,0.0158963,16.5172,3.56161,4.32242,0.958991,0.00298006,25.9406,3.51913,12.7389,4.14208,49.8327,19.3325,0.218496,113.006,-9555.62
39.9993,0.955293,0.0146502,18.7122,3.34303,4.29451,0.964719,0.0134887,22.5118,4.04792,8.9731,5.24531,64.1677,16.4358,0.332104,95.3904,-9548.8
45.234,0.871531,0.0155503,17.324,3.31838,4.8148,0.980745,0.006104,23.9702,9.0613,8.95906,4.20148,52.7645,18.9247,0.151525,37.783,-9553.01
39.7029,0.83125,0.0158949,20.3588,3.67657,3.62653,0.856988,0.0141521,27.3371,5.85044,11.5295,6.22919,39.1934,16.0542,0.290193,74.0815,-9559.06
40.9409,0.880776,0.0126222,18.1954,3.1182,3.98808,0.926201,0.0138527,24.074,4.77179,14.9699,3.92532,29.5172,17.0815,0.697891,24.1349,-9550.83
46.9744,0.878428,0.0115503,17.3887,3.17212,4.96449,0.919517,0.0185669,23.5839,5.12889,12.4083,3.84956,38.0764,17.1954,0.272066,95.3249,-9547.88
45.0164,0.873808,0.0134732,18.0883,3.55576,4.09117,0.930755,0.00696675,27.7772,6.3935,8.61149,4.42187,66.517,18.8953,0.144612,111.977,-9549.88
47.2177,0.921923,0.00928148,16.8196,3.09922,4.51757,0.959347,0.0296222,22.4528,6.59259,6.70415,2.30467,58.1627,16.0523,0.284939,32.6967,-9555.61
45.3538,0.958429,0.0118774,16.3159,3.08689,5.90112,0.942403,0.0135595,22.8992,5.82978,10.068,3.60473,69.3144,17.6719,0.327613,72.5117,-9545.64
44.3759,0.908653,0.0113865,16.9761,2.98235,3.61722,0.988263,0.0158703,19.3911,2.89495,12.9293,3.85053,31.3151,16.2484,0.395116,39.6509,-9550.24
51.341,0.952959,0.0110706,15.8595,3.11528,3.66792,0.86961,0.00787912,26.5088,5.0534,9.51355,4.48058,50.0511,17.5067,0.247581,40.5022,-9552.32
44.6655,0.930437,0.0182328,17.9114,3.59979,4.59921,0.824228,0.00743077,25.6178,4.59678,10.1656,4.05481,49.6863,16.547,0.217447,92.1879,-9550.54
36.9923,0.801986,0.0130323,20.9056,3.18746,3.38188,0.981491,0.0094645,24.7685,4.19613,8.87302,5.17238,42.4186,15.9025,0.318345,39.2119,-9560.42
42.6982,0.962006,0.0122242,17.9719,3.03635,4.49246,0.994879,0.00811383,23.2239,4.61426,10.3966,2.59649,53.6161,15.6792,0.285553,64.8555,-9562.23
39.5158,0.929783,0.0168686,18.5017,3.31262,4.75277,0.925661,0.0128099,24.3917,3.98046,11.58,3.47468,40.8869,16.5811,0.549497,35.1247,-9549.82
39.6397,0.99495,0.0102135,17.3927,2.94568,4.90108,0.969449,0.0115393,24.8444,9.30402,8.62846,3.94601,64.8262,16.6651,0.251113,45.9582,-9551.75
42.0796,0.932254,0.016182,18.3635,3.33265,4.73894,0.969233,0.0138165,22.0623,6.66052,6.09844,3.84165,83.5986,15.9508,0.24378,66.2088,-9549.05
45.206,0.909119,0.0125169,17.0129,3.19847,3.49662,0.96532,0.014285,26.2837,7.63276,7.63458,3.60974,59.7263,17.4793,0.316094,37.6693,-9547.58
44.321,0.887916,0.0168928,18.9624,3.52413,4.17134,0.986252,0.0215687,20.77,3.79709,8.50537,3.80626,47.2161,14.6011,0.138458,110.537,-9551.32
44.0656,0.965324,0.0138023,16.7005,3.23123,6.10614,0.927523,0.032789,20.7698,6.07049,8.79878,3.6898,71.3152,17.9083,0.280123,50.1602,-9548.36
44.6382,0.951475,0.0165496,17.7441,3.52283,3.72409,0.958919,0.00973633,21.5845,4.49904,10.9475,4.9189,50.0112,17.8129,0.41752,19.1981,-9548.1
44.0563,0.956536,0.0140293,16.4846,3.21013,3.36781,0.958901,0.00656343,22.6164,4.28099,11.1049,4.30343,50.3369,17.614,0.121939,56.9592,-9546.69
47.4469,0.828046,0.011588,18.1846,3.46664,5.46046,0.930495,0.00621119,24.43,4.68083,9.61112,4.55253,51.1393,16.9512,0.289352,34.9309,-9555.19
44.1066,0.977225,0.0113502,15.6687,2.91484,4.04443,0.976281,0.00921405,24.0075,7.34574,10.5509,5.14533,58.2913,18.1055,0.196005,54.4573,-9549.95
42.5566,0.973268,0.0183228,17.1839,3.32194,4.46,0.92509,0.00975498,23.0472,5.75215,6.69348,2.67324,73.0248,15.5729,0.320688,60.6692,-9551.26
49.0333,0.984372,0.0146757,15.6906,3.21321,3.84716,0.936377,0.0154751,23.5741,7.13368,8.83139,2.77101,53.1348,17.0888,0.387849,40.2925,-9544.08
46.72,0.931764,0.0177458,17.0045,3.47324,4.75131,0.992792,0.0126635,20.3261,3.55127,12.3625,3.98174,41.5488,16.4341,0.473713,31.3294,-9552.94
43.6287,0.985933,0.00960789,16.3671,2.96219,4.10062,0.915224,0.0199392,23.9079,7.08784,9.24304,3.53678,55.4545,16.841,0.258801,62.5703,-9549.71
43.9237,0.94685,0.0116814,17.6241,3.09623,3.98696,0.925993,0.0186866,24.1003,7.91376,8.34621,3.75693,58.462,16.4014,0.355557,40.7491,-9546.92
46.2059,0.973853,0.0130339,16.8752,3.25328,4.04019,0.968041,0.00838632,22.5275,4.33674,9.96748,4.89134,63.4569,16.2212,0.491076,38.2981,-9544.53
42.4965,0.957134,0.0115205,16.6728,2.93149,2.78003,0.937313,0.0179443,24.3417,4.05948,9.75664,4.76811,72.9263,17.6156,0.334045,45.0728,-9554.67
51.6552,0.951639,0.0149027,15.9709,3.40873,3.75398,0.974569,0.00569324,22.2389,3.56821,8.51603,3.73421,68.4218,17.4937,0.348031,71.9168,-9544.68
44.1244,0.949714,0.00641321,15.1433,2.71587,3.93384,0.953093,0.0183364,23.2412,6.23196,9.1135,2.90092,36.9635,19.1049,0.568054,26.618,-9549.07
41.9493,0.919636,0.0120248,17.7106,3.06225,4.30832,0.975324,0.00708666,22.9522,4.66699,10.0433,5.37441,49.4942,17.076,0.117073,75.085,-9549.61
43.1733,0.980952,0.0136035,16.6434,2.98884,3.47369,0.935696,0.0113551,22.7326,5.21378,6.10858,4.29419,91.4569,16.692,0.102556,85.6284,-9555.63
43.7881,0.981916,0.0087853,16.9741,2.97505,2.99202,0.926175,0.0120691,24.2626,4.01408,5.8643,4.70004,78.8556,15.9273,0.764135,17.2057,-9559.05
40.0802,0.860731,0.00898533,17.9116,2.98655,5.87979,0.95985,0.0135774,24.2755,10.0197,10.548,4.79324,49.1441,18.8107,0.269373,97.776,-9553.91
43.2348,0.981203,0.0149245,17.0113,3.29745,4.47129,0.924019,0.00840567,22.9921,4.23146,11.775,5.62544,58.4613,16.9501,0.13411,47.1155,-9547.01
43.6117,0.923857,0.014072,17.9766,3.30411,3.95768,0.873039,0.0225676,24.3258,5.21696,10.8783,4.00497,50.1226,16.6443,0.161237,50.228,-9548.8
40.3722,0.99525,0.0164104,17.1252,3.29479,4.34492,0.926284,0.0203033,19.8961,4.14685,10.5356,3.90722,60.8594,17.974,0.378407,51.7315,-9547.82
41.462,0.992794,0.0168719,17.0163,3.19346,4.88233,0.96174,0.0186607,20.6136,4.06278,10.783,4.71672,66.6371,17.2387,0.171639,74.4396,-9546.98
47.7006,0.980276,0.0179012,16.5314,3.4235,4.7547,0.975129,0.0137919,20.9551,7.79143,11.3771,4.17608,62.8072,17.2706,0.330261,48.8469,-9543.98
44.1608,0.922675,0.00657657,16.6134,2.8785,3.83099,0.966733,0.0182456,25.1772,7.65244,8.83367,3.58394,50.8317,17.0526,0.60636,35.922,-9549.75
43.167,0.964706,0.0109197,16.835,3.02797,3.88715,0.988687,0.0110086,23.1091,5.83495,8.00166,3.2382,42.1984,17.3847,0.58858,21.8291,-9547.57
45.8164,0.891333,0.0116891,16.6552,3.11749,3.52248,0.910522,0.00402171,29.2064,7.66574,7.56399,4.21112,70.9521,17.798,0.340001,46.6349,-9551.3
43.9018,0.987261,0.0200406,17.2488,3.38102,7.11035,0.97977,0.0220547,19.1455,5.68904,7.11123,2.28576,63.779,16.7087,0.242333,76.9502,-9557.55
45.3478,0.972107,0.0136623,17.4029,3.17732,5.82619,0.971537,0.0172641,20.7129,6.82482,7.66353,4.29857,55.4763,16.0844,0.309374,55.9253,-9548.05
44.5417,0.916101,0.0124831,17.2498,3.14967,4.62222,0.950298,0.0270873,21.2783,4.84787,9.06086,3.69485,56.7032,16.1608,0.164992,60.8854,-9550.87
41.124,0.927721,0.0133736,18.2641,3.14238,2.8969,0.972948,0.010022,25.4563,6.21758,12.655,4.62482,47.2123,16.9772,0.383584,54.5494,-9549.5
44.5991,0.946103,0.0104324,16.1434,3.09264,3.6243,0.863545,0.00892071,30.0959,5.88504,8.95237,3.65539,80.9398,19.5805,0.173217,57.2095,-9553.18
47.0497,0.910814,0.00939634,16.1812,3.12695,5.10354,0.859285,0.00981122,27.1168,5.89327,11.4289,4.7347,49.8137,18.2434,0.284934,107.535,-9553.06
46.3141,0.935434,0.00935724,16.2262,2.94608,3.07377,0.881004,0.0129172,27.8919,3.671,12.0393,3.49208,40.2821,16.932,0.113975,131.865,-9550.1
47.1438,0.910941,0.0126675,16.5113,3.08338,4.46422,0.930676,0.0137555,28.2859,6.40172,8.22773,3.80769,62.4724,16.6595,0.164632,173.824,-9549.87
39.2583,0.878777,0.013912,19.6863,3.4028,3.14415,0.823776,0.00594069,26.6836,4.84551,8.37885,4.07537,71.9471,16.6884,0.400889,43.4124,-9559.27
45.846,0.878973,0.00937231,17.0455,3.04971,3.9141,0.965897,0.0178547,22.7251,4.47867,9.69742,4.84095,44.6655,16.944,0.372926,55.416,-9547.07
41.1977,0.905873,0.0121432,16.3954,2.99613,5.872,0.891774,0.0288922,21.8193,7.18393,11.3287,3.94513,52.5824,20.3305,0.363855,27.0775,-9556.66
51.5837,0.976864,0.0135402,14.4781,3.19986,4.38855,0.948763,0.00606133,21.2102,3.6915,12.1339,6.56259,49.3001,18.0301,0.447616,40.7411,-9560.4
43.1625,0.911379,0.0113673,16.9598,3.0722,3.33612,0.851501,0.00271447,29.2599,4.47336,10.8354,3.54411,53.9201,18.1952,0.168029,71.3741,-9551.15
41.999,0.885402,0.0142968,18.5301,3.35289,3.67912,0.940154,0.0110504,23.73,4.61274,9.90146,3.47026,48.7065,16.9336,0.625362,16.4721,-9551.02
45.6833,0.958873,0.0123351,16.2959,3.10981,3.44268,0.945106,0.0117592,24.3134,6.08911,7.02264,5.29395,68.6842,16.8478,0.189387,51.8018,-9547.57
42.5316,0.986691,0.0137438,17.0692,3.11973,5.23389,0.982441,0.0122106,20.9611,5.08161,9.52987,4.82369,60.0629,17.2928,0.179116,47.0374,-9545.16
41.4652,0.887705,0.00966895,17.1551,2.91309,4.64399,0.94074,0.0166428,24.0014,6.7186,9.31902,3.23498,60.7798,19.6867,0.345556,77.8211,-9550.66
52.8833,0.838334,0.0133194,16.9271,3.52065,3.59054,0.99205,0.00930867,26.6708,5.86628,7.79471,6.24334,54.6214,16.1833,0.250871,74.9421,-9559.56
43.0615,0.917156,0.0111745,18.1961,3.13356,4.00121,0.921982,0.00740847,26.8151,5.55586,7.68862,4.9818,85.1453,15.4594,0.222224,51.0985,-9552.84
45.4129,0.970449,0.0112943,16.7561,3.16048,5.19786,0.968839,0.0177298,21.3243,5.96663,12.0747,5.2707,43.9082,16.7514,0.301586,92.0792,-9546.66
39.3571,0.981895,0.0148492,17.3289,3.03004,5.05013,0.904191,0.0112972,24.7375,4.09898,11.6045,5.25057,43.9903,16.0913,0.211616,142.54,-9549.83
38.7179,0.995205,0.012873,17.9746,3.13149,4.55275,0.908942,0.0170469,22.5729,7.22623,10.7743,3.77975,51.1866,17.0543,0.245753,28.2643,-9552.25
50.3708,0.971007,0.0150316,16.4398,3.55269,3.8582,0.940203,0.0170765,24.9794,6.60981,6.81508,4.65664,47.2537,16.2257,0.434087,71.8387,-9556.51
41.4043,0.883143,0.0133292,18.9068,3.30019,3.46882,0.855879,0.0177426,26.2819,4.42466,10.3764,2.76409,38.8466,16.2923,0.384276,51.2485,-9558.28
41.8838,0.928771,0.0127519,17.6434,3.04038,3.52282,0.871623,0.0211141,24.0425,4.30475,5.81304,2.22093,49.0927,15.8728,0.316658,61.1696,-9549.81
46.518,0.982785,0.0117304,15.8713,3.15884,4.87401,0.966051,0.013278,20.8287,4.16386,8.42305,4.76418,77.8552,17.7205,0.439568,20.6826,-9548.25
48.3811,0.898091,0.0104546,16.724,3.1323,3.47642,0.969192,0.011669,24.3099,4.60156,9.63292,3.89816,46.7325,16.5419,0.180261,49.3894,-9546.9
39.2367,0.922771,0.0104165,18.0318,3.01868,4.61028,0.939044,0.0115054,22.0162,5.64049,10.5625,4.61114,30.9218,16.3397,0.28161,43.4036,-9555.06
40.0774,0.946763,0.0152149,17.5679,3.21373,4.62193,0.92763,0.0149649,23.9923,4.90323,18.0953,4.97466,32.6388,17.9502,0.241214,103.665,-9549.96
45.9216,0.971684,0.0154044,16.8247,3.32165,3.86612,0.917502,0.0164688,25.3374,4.43956,10.2575,3.04545,49.3077,16.6165,0.424741,67.6563,-9552.61
43.1909,0.934003,0.00795028,16.8537,2.85496,3.43312,0.94247,0.01258,25.9766,6.01327,8.61536,3.46636,52.3568,16.6945,0.132958,100.232,-9548.08
44.2269,0.932563,0.0180984,16.8413,3.36485,3.6646,0.953664,0.020544,23.4202,4.46016,7.19663,4.13457,58.9651,17.7367,0.184817,112.083,-9550.2
42.5467,0.944513,0.0141645,16.547,3.1963,5.3754,0.990943,0.0163539,22.7425,7.76609,8.51576,3.17626,66.4216,19.3379,0.269822,84.5425,-9548.01
51.5335,0.973081,0.0180137,15.5678,3.48651,3.04138,0.977489,0.0188074,23.5463,5.4114,12.4199,5.67468,48.032,17.3153,0.400065,58.256,-9550.61
42.8334,0.884501,0.0121206,18.4575,3.24269,4.20963,0.962814,0.00645511,25.9594,4.46064,6.37127,3.47251,58.6676,16.8729,0.215865,110.046,-9549.94
41.3162,0.844294,0.0112886,18.6206,3.26371,4.89599,0.941397,0.00720115,25.3729,6.03181,15.4036,5.76805,34.1307,17.7443,0.0849791,181.434,-9556.61
43.3721,0.898498,0.00855628,16.7677,2.867,5.62749,0.978506,0.00495348,27.3559,3.82942,15.3798,4.65201,34.7016,16.5433,0.204188,177.731,-9560.44
39.5654,0.847088,0.0139387,19.6788,3.29275,5.44532,0.970658,0.00282701,28.2423,6.42898,8.55228,3.10863,63.0465,17.0632,0.241677,161.926,-9556.15
43.9245,0.838648,0.0112656,17.3624,3.03235,5.57369,0.95061,0.0186923,24.4646,7.29633,10.4425,4.90559,35.7679,18.1729,0.17363,84.1568,-9556.41
48.8476,0.910406,0.0114352,15.4275,3.09205,4.58513,0.880717,0.00788061,28.7943,5.71873,16.3285,5.01463,36.4113,18.8625,0.244231,146.225,-9553.14
53.781,0.924126,0.0159077,15.6373,3.44904,4.44734,0.927398,0.0173097,22.1651,6.26674,7.89219,3.09429,48.3258,17.2601,0.249843,88.0087,-9549.91
37.3638,0.985082,0.0109581,17.9349,3.01054,4.9422,0.942064,0.00832197,21.8429,4.52204,10.7124,6.68651,68.9599,16.3741,0.249545,51.481,-9552.1
