"u_par","phi_LM_max","phi_LM_min","A_LM_50pc","K_LM","u_clin","phi_D_max","phi_D_min","A_D_50pc","K_D","A_d_PCR_50pc","K_d_PCR","d_PCR_max","d_LM","P_MI","d_MI","loglike"
47.6822,0.942617,0.0143222,15.7346,3.20445,4.13884,0.958933,0.0110124,20.6211,3.80872,14.8848,4.4171,30.7941,18.1384,0.247291,78.9387,-9551.26
36.3406,0.982773,0.0138555,18.4667,2.98704,3.57664,0.939369,0.0092218,21.9614,4.28956,8.45604,6.04496,63.2012,16.2571,0.0938177,41.4536,-9553.88
39.3288,0.881045,0.0121745,19.3233,3.34067,4.83319,0.960978,0.0107289,25.2776,7.48181,6.02658,3.01351,49.1261,17.3232,0.142316,117.644,-9554.7
46.7812,0.891073,0.0122639,16.963,3.35349,3.1549,0.972996,0.0116413,28.9594,7.40597,8.28998,3.52913,54.8797,18.2915,0.126962,113.059,-9556.22
49.3751,0.988578,0.0125457,15.3266,2.99528,4.22855,0.90288,0.00539707,25.6061,3.73526,8.36727,2.77766,55.377,15.9314,0.194158,127.13,-9546.43
44.0027,0.962462,0.0119631,16.3582,2.93937,5.32683,0.950193,0.0164614,22.626,6.22002,8.65438,4.76817,52.8048,16.7181,0.281293,88.2664,-9542.37
45.512,0.977185,0.012393,16.8146,3.13801,3.35722,0.99143,0.0141937,22.6815,6.09785,7.08174,3.36291,81.2429,16.843,0.101912,46.7093,-9548.25
48.7818,0.880558,0.0144061,17.4966,3.68841,4.80215,0.974543,0.0165093,22.7662,5.76812,13.6854,4.20593,37.9746,17.3656,0.0768935,140.814,-9557.27
38.0599,0.915298,0.00956798,17.76,2.83223,3.12097,0.952821,0.00948775,27.7197,6.67309,9.4355,2.81208,51.8071,17.307,0.190492,34.5177,-9549.53
47.1077,0.892158,0.0159318,17.0891,3.50641,4.65295,0.982422,0.0117496,23.7831,6.05528,10.4216,5.01664,38.8801,18.4576,0.183653,132.354,-9549.44
40.1986,0.978729,0.0105742,18.234,3.07045,5.13351,0.906424,0.00709226,26.1363,4.86737,10.8475,3.7981,45.8015,15.3594,0.222179,137.506,-9548.83
44.5326,0.882456,0.0119189,17.3939,3.0569,5.32166,0.927977,0.0131995,24.9039,5.69303,15.825,4.34375,27.229,16.2818,0.164572,158.772,-9555.91
54.7512,0.947482,0.0115589,15.1774,3.25094,4.85003,0.9178,0.0137954,23.2681,6.96218,10.557,3.37622,50.7556,17.3507,0.179256,79.331,-9551.35
48.7144,0.979905,0.0124746,15.9714,3.24864,6.14912,0.913175,0.0066503,25.894,5.27468,9.26132,2.89772,77.7515,17.0362,0.293588,124.551,-9555.98
48.4495,0.983581,0.0196573,16.6993,3.62542,4.59458,0.926033,0.012316,22.9011,5.88442,9.3683,3.25774,40.8534,16.5374,0.201527,108.202,-9546.52
42.3151,0.997928,0.0142146,17.0823,3.12206,3.84037,0.778905,0.00608839,25.8834,3.30386,11.0726,4.04714,57.719,16.608,0.218161,93.3142,-9559.76
39.2191,0.937635,0.00823463,17.8259,2.93245,6.23924,0.979719,0.00820301,23.4418,7.04018,8.636,3.71798,63.389,16.5899,0.301885,45.0544,-9556.42
41.1207,0.909264,0.0178036,17.8525,3.27418,4.43182,0.973206,0.0124439,21.1257,6.82844,11.6688,4.4636,50.4534,17.5932,0.116353,75.1269,-9553.59
39.208,0.955887,0.0101674,17.3316,3.00314,5.11619,0.899854,0.0134941,23.1693,7.16841,5.71179,2.35607,96.4314,17.4789,0.325426,48.0676,-9555.44
40.56,0.883745,0.0119826,18.4401,3.26072,4.12976,0.92305,0.0125897,24.1897,6.27227,7.38248,2.53188,60.4617,18.0438,0.24943,65.712,-9548.05
43.8016,0.984816,0.00861903,16.1744,2.95888,5.3422,0.934881,0.00932993,25.8074,6.0213,10.0597,3.51601,63.5469,17.7799,0.192532,134.991,-9547.2
41.1826,0.944291,0.0141346,17.6456,3.28888,5.4952,0.982366,0.00332357,22.6243,6.87311,12.9196,3.86524,44.6879,18.0585,0.153447,120.728,-9552.55
45.9886,0.924582,0.0117018,17.061,3.24673,4.52223,0.945876,0.0116978,22.4729,4.51138,9.88848,4.83029,63.3766,16.4414,0.228526,78.1709,-9553.92
42.8747,0.923314,0.0125544,16.9951,3.20991,3.54714,0.943126,0.0112629,25.6905,6.10598,10.1788,4.67302,74.3412,19.369,0.22818,54.0882,-9548.62
46.9431,0.892622,0.0160406,18.1423,3.70094,4.42681,0.890298,0.00834369,25.2187,7.1157,7.58877,4.956,58.1211,16.5127,0.343236,42.9783,-9551.05
38.9605,0.908512,0.0123425,18.4168,3.12515,3.50127,0.899523,0.0120279,28.9819,8.68209,9.2491,5.79669,67.5414,16.6779,0.397077,23.1649,-9554.51
43.1773,0.914329,0.0156599,18.9491,3.3678,4.2446,0.846827,0.0154717,26.6528,5.84342,11.5651,4.50868,48.7205,15.302,0.451672,26.1252,-9557.36
41.9523,0.986553,0.00847005,16.0413,2.8031,4.66124,0.983255,0.00879236,22.3698,4.68574,9.98745,2.8891,46.8874,17.9699,0.154976,139.034,-9550.69
48.0559,0.96984,0.0126474,15.5187,3.2017,5.73231,0.977893,0.0168528,21.4211,6.73807,12.6891,4.83458,54.4091,17.6279,0.214985,92.4279,-9551.18
44.8765,0.985218,0.0109859,16.0798,2.98809,4.81602,0.995702,0.0190794,21.3466,4.33056,9.44781,4.1675,48.9697,17.3508,0.108958,162.409,-9554.28
43.5529,0.965522,0.0116226,16.5512,3.0316,4.70343,0.916856,0.0112779,23.1984,4.86898,11.0261,4.23047,48.8407,17.6225,0.201572,109.918,-9544.95
45.1685,0.861143,0.0138338,17.4062,3.40474,3.49749,0.890704,0.0138638,25.438,5.28026,12.5043,6.0478,44.2434,18.3073,0.421445,45.2366,-9556.24
47.6889,0.938582,0.0158984,17.0175,3.34138,5.28853,0.95002,0.0116681,23.6841,5.13623,9.96681,4.84436,51.2392,15.989,0.324544,100.755,-9546.7
47.2586,0.956174,0.00945269,15.5313,2.79628,6.1396,0.884318,0.0177432,22.7992,9.03794,8.48376,2.89361,54.4271,16.3699,0.133869,44.1319,-9556.87
39.6149,0.869749,0.010648,18.6024,3.25644,4.04808,0.951062,0.0122977,24.9126,7.5267,8.75107,4.05298,44.3847,17.3242,0.167305,41.5385,-9558.5
36.2583,0.857987,0.00834607,18.6608,2.99122,2.74932,0.9562,0.00562615,25.1742,3.50004,7.76428,4.14033,53.3475,18.1802,0.144197,61.0514,-9562.22
39.7282,0.938895,0.00522291,17.0619,2.68826,3.98935,0.986949,0.0126196,24.5014,5.76621,8.63844,2.97953,53.1367,17.1857,0.321327,65.5858,-9545.41
45.0531,0.965187,0.0146437,16.7815,3.21766,3.99284,0.894379,0.0156621,25.9857,5.44821,14.4622,5.09966,33.0449,17.0093,0.397538,47.3738,-9551.11
41.9468,0.949115,0.0175595,17.6398,3.24781,3.64641,0.915599,0.0169104,23.8547,4.84273,7.78901,2.83427,57.991,16.8233,0.315028,51.9328,-9544.26
47.0334,0.900473,0.0177453,17.6141,3.60963,4.87702,0.951452,0.023281,21.5493,4.40462,9.89383,4.26658,45.2809,16.7646,0.262294,39.5738,-9555.42
38.1092,0.885539,0.00987987,18.9074,3.01491,4.67164,0.953193,0.0193654,27.003,7.32265,7.58627,3.67399,68.6293,16.4466,0.150089,83.4074,-9554.3
41.7255,0.832209,0.0107156,18.3784,3.20761,5.14753,0.934501,0.00770001,25.0399,7.3505,13.0756,4.09054,37.9354,18.8055,0.2216,56.6156,-9553.36
45.4448,0.982261,0.0145183,16.4897,3.25109,3.78022,0.915047,0.0164643,23.0248,4.01073,8.01402,3.40277,67.6886,17.8623,0.158291,42.4366,-9549.81
41.8664,0.974215,0.0107355,17.3885,2.89265,3.03012,0.905361,0.014202,24.9966,5.91464,10.6815,3.04269,60.274,16.2652,0.781301,25.7515,-9555.22
41.2371,0.997602,0.0122863,16.3314,2.9264,5.01659,0.866319,0.0106904,22.8811,8.17858,7.95516,2.60637,52.0857,17.9244,0.211662,66.7871,-9548.69
46.8757,0.974513,0.013196,15.7826,2.96379,5.43808,0.879418,0.0114034,23.5355,5.53363,10.5382,3.63316,54.4879,16.2501,0.329868,67.6451,-9549.3
46.0144,0.936011,0.0143918,18.0063,3.49006,4.46079,0.849589,0.0233282,22.2333,5.19796,10.9656,4.09379,56.0457,15.8935,0.274547,68.5655,-9556.72
46.8762,0.91366,0.0148041,17.1611,3.46634,4.38366,0.98707,0.0118437,21.4912,3.84603,10.0327,3.41396,50.6103,17.5335,0.496353,34.1215,-9543.11
47.0639,0.900883,0.0142581,17.5486,3.37229,3.5943,0.958049,0.0145343,23.7559,4.65321,9.30391,4.61988,52.6224,17.0312,0.269394,54.0542,-9547.28
38.9233,0.856223,0.0142346,19.8152,3.32212,3.67957,0.924914,0.0235861,23.9046,5.27302,9.95488,3.6392,43.1916,16.9923,0.203678,49.2086,-9551.43
45.9553,0.921455,0.0101154,17.1926,3.03135,4.80208,0.990412,0.00962802,22.1399,3.98744,10.2397,4.03011,42.9709,15.7576,0.354856,68.2705,-9548.16
41.8472,0.827997,0.012176,19.8079,3.42119,3.81811,0.964913,0.0128912,24.9532,5.96773,8.01167,4.2613,44.4052,15.4331,0.561571,36.286,-9553.09
47.9679,0.978172,0.0143678,16.1509,3.27905,2.55024,0.979644,0.00913509,24.623,6.32748,9.89636,4.99275,79.7271,17.695,0.225039,79.4384,-9550.86
48.6078,0.894268,0.0129634,16.7477,3.24828,4.00207,0.986185,0.0155994,24.033,4.34378,8.06295,4.2884,51.2495,17.3458,0.311153,100.592,-9548.61
41.6831,0.934205,0.0103311,17.3978,2.99624,4.00321,0.946873,0.0123769,26.4979,4.56725,7.79578,3.70414,71.2288,16.7239,0.338274,60.4194,-9549.26
38.9917,0.997996,0.00989068,17.5103,2.96813,3.59439,0.891317,0.00542965,24.4315,4.61266,11.4327,5.11323,40.8721,16.7387,0.546136,36.0771,-9549.9
47.5766,0.828706,0.00983393,18.3827,3.25949,3.6595,0.993225,0.0151241,25.6185,5.27028,6.98064,3.47311,49.4696,15.5955,0.349106,63.4411,-9558.48
