"draw","parameter","value"
1,"ib0",57.01633
1,"ic0",18.53739
1,"id0",1.333526
1,"iv0",0.9867704
1,"pcm",0.862118
1,"pvm",0.198229
1,"ad",8628.97
1,"av",2486.15
1,"b0",0.67825
1,"cd",0.0634016
1,"cu",0.0167677
1,"rm",62.6796
1,"d1",0.26291
1,"du",112.403
1,"rvm",72.769
1,"fd0",0.0053918
1,"fv0",0.159266
1,"gamma1",4.51895
1,"gammad",5.34326
1,"gammav",3.45362
1,"kb",1.96804
1,"kc",2.33458
1,"kd",0.618656
1,"kv",2.04591
1,"phi0",0.582482
1,"phi1",0.0005735
1,"theta0",0.081025
1,"theta1",5.82e-05
1,"ub",4.78004
1,"uc",10.3551
1,"uv",12.0362
1,"ud",5.89388
2,"ib0",33.40141
2,"ic0",18.59305
2,"id0",2.15718
2,"iv0",0.8590888
2,"pcm",0.825968
2,"pvm",0.212384
2,"ad",8561.38
2,"av",2084.21
2,"b0",0.581759
2,"cd",0.0525846
2,"cu",0.0125859
2,"rm",67.5655
2,"d1",0.228563
2,"du",113.123
2,"rvm",82.8578
2,"fd0",0.0012512
2,"fv0",0.101597
2,"gamma1",2.50621
2,"gammad",4.62938
2,"gammav",2.7154
2,"kb",2.63469
2,"kc",2.35379
2,"kd",0.639235
2,"kv",1.9348
2,"phi0",0.947368
2,"phi1",0.000726
2,"theta0",0.109666
2,"theta1",4.87e-05
2,"ub",4.6878
2,"uc",8.57221
2,"uv",6.66147
2,"ud",10.5583
3,"ib0",44.38408
3,"ic0",28.50285
3,"id0",2.997627
3,"iv0",1.655025
3,"pcm",0.908635
3,"pvm",0.194782
3,"ad",8205.92
3,"av",2549.68
3,"b0",0.822841
3,"cd",0.0725926
3,"cu",0.0033885
3,"rm",58.7239
3,"d1",0.179863
3,"du",117.785
3,"rvm",65.5314
3,"fd0",0.0016538
3,"fv0",0.186845
3,"gamma1",1.42608
3,"gammad",4.34125
3,"gammav",3.09405
3,"kb",2.19905
3,"kc",2.28932
3,"kd",0.48082
3,"kv",2.05955
3,"phi0",0.74095
3,"phi1",2.79e-05
3,"theta0",0.070763
3,"theta1",9e-05
3,"ub",11.4379
3,"uc",4.25663
3,"uv",1.83761
3,"ud",14.9823
4,"ib0",38.32567
4,"ic0",21.57851
4,"id0",1.866413
4,"iv0",0.8003817
4,"pcm",0.83731
4,"pvm",0.193635
4,"ad",8122.2
4,"av",2420.52
4,"b0",0.629968
4,"cd",0.0410477
4,"cu",0.0147714
4,"rm",63.815
4,"d1",0.156246
4,"du",119.427
4,"rvm",84.9239
4,"fd0",0.0096867
4,"fv0",0.108276
4,"gamma1",2.20816
4,"gammad",4.35089
4,"gammav",3.32398
4,"kb",2.36717
4,"kc",2.52816
4,"kd",0.496018
4,"kv",1.66587
4,"phi0",0.618676
4,"phi1",0.0001653
4,"theta0",0.0401951
4,"theta1",9.09e-05
4,"ub",6.17898
4,"uc",6.10211
4,"uv",8.82735
4,"ud",11.0284
5,"ib0",43.03284
