"draw","parameter","value"
5,"ic0",16.81721
5,"id0",1.336415
5,"iv0",1.163921
5,"pcm",0.823041
5,"pvm",0.240118
5,"ad",8069.48
5,"av",2502.18
5,"b0",0.61046
5,"cd",0.0876114
5,"cu",0.0199532
5,"rm",68.8011
5,"d1",0.0847798
5,"du",105.549
5,"rvm",80.0385
5,"fd0",0.0034804
5,"fv0",0.14348
5,"gamma1",2.60924
5,"gammad",4.08281
5,"gammav",3.0231
5,"kb",2.70961
5,"kc",2.19814
5,"kd",0.387136
5,"kv",1.88148
5,"phi0",0.809217
5,"phi1",0.0003492
5,"theta0",0.0701096
5,"theta1",0.0001191
5,"ub",5.17044
5,"uc",5.92955
5,"uv",16.7139
5,"ud",15.4307
6,"ib0",27.19157
6,"ic0",20.58643
6,"id0",1.584543
6,"iv0",1.774181
6,"pcm",0.583798
6,"pvm",0.240753
6,"ad",7702.09
6,"av",2339.68
6,"b0",0.632311
6,"cd",0.102018
6,"cu",0.0030019
6,"rm",81.0431
6,"d1",0.151364
6,"du",119.167
6,"rvm",65.1915
6,"fd0",0.0051938
6,"fv0",0.1895
6,"gamma1",1.02838
6,"gammad",4.53258
6,"gammav",4.10007
6,"kb",1.80797
6,"kc",2.40816
6,"kd",0.46237
6,"kv",2.12749
6,"phi0",0.888768
6,"phi1",0.0002653
6,"theta0",0.0570345
6,"theta1",0.0002034
6,"ub",7.87133
6,"uc",5.37719
6,"uv",7.58388
6,"ud",6.52124
7,"ib0",35.7724
7,"ic0",19.06848
7,"id0",3.295698
7,"iv0",2.457443
7,"pcm",0.823409
7,"pvm",0.227437
7,"ad",7778.17
7,"av",2724.39
7,"b0",0.68267
7,"cd",0.134439
7,"cu",0.00802
7,"rm",68.5124
7,"d1",0.183229
7,"du",118.306
7,"rvm",92.1649
7,"fd0",0.0138472
7,"fv0",0.0997218
7,"gamma1",3.11426
7,"gammad",6.34415
7,"gammav",2.15761
7,"kb",2.24249
7,"kc",2.36845
7,"kd",0.822296
7,"kv",2.1221
7,"phi0",0.823366
7,"phi1",0.0022451
7,"theta0",0.0402916
7,"theta1",0.0001378
7,"ub",7.64977
7,"uc",7.04399
7,"uv",8.27601
7,"ud",21.4651
8,"ib0",33.60328
8,"ic0",20.59487
8,"id0",0.426351
8,"iv0",1.316747
8,"pcm",0.816062
8,"pvm",0.295458
8,"ad",9109.46
8,"av",2461.49
8,"b0",0.74228
8,"cd",0.0939342
8,"cu",0.0088452
8,"rm",65.8046
8,"d1",0.0995771
8,"du",119.222
8,"rvm",79.6358
8,"fd0",0.0130212
8,"fv0",0.0569135
8,"gamma1",2.29785
8,"gammad",3.59191
8,"gammav",2.33897
8,"kb",1.84325
8,"kc",2.36187
8,"kd",0.274881
8,"kv",1.76848
8,"phi0",0.787307
8,"phi1",0.0007514
8,"theta0",0.0528007
8,"theta1",0.0002647
8,"ub",7.74944
8,"uc",8.02507
8,"uv",10.1851
8,"ud",8.91757
9,"ib0",41.98128
9,"ic0",14.09283
9,"id0",2.847631
9,"iv0",1.333752
9,"pcm",0.874286
9,"pvm",0.164714
9,"ad",7519.25
9,"av",1854.16
9,"b0",0.52034
9,"cd",0.0514318
9,"cu",0.0064292
9,"rm",67.0297
9,"d1",0.163198
9,"du",108.311
9,"rvm",101.093
9,"fd0",0.0073992
9,"fv0",0.274528
9,"gamma1",1.86822
9,"gammad",4.82738
9,"gammav",2.54054
9,"kb",1.73226
9,"kc",2.20428
9,"kd",0.538677
9,"kv",2.20404
9,"phi0",0.826759
9,"phi1",0.0009041
9,"theta0",0.0774268
9,"theta1",6.98e-05
9,"ub",10.1054
9,"uc",9.73529
9,"uv",23.3952
9,"ud",9.59599
10,"ib0",38.96398
10,"ic0",19.10167
10,"id0",1.298621
10,"iv0",1.36714
10,"pcm",0.677439
10,"pvm",0.28276
10,"ad",8373.29
10,"av",2793.71
10,"b0",0.665368
10,"cd",0.0819655
10,"cu",0.0140394
10,"rm",70.3411
10,"d1",0.159561
10,"du",119.086
10,"rvm",72.1253
10,"fd0",0.0125022
10,"fv0",0.0792683
10,"gamma1",1.27044
10,"gammad",4.77657
10,"gammav",3.0278
10,"kb",2.13405
10,"kc",2.3305
10,"kd",0.484899
10,"kv",1.70784
10,"phi0",0.821092
10,"phi1",0.0006578
10,"theta0",0.0331725
10,"theta1",0.0003951
10,"ub",5.64913
10,"uc",5.09023
10,"uv",11.796
10,"ud",12.9296
11,"ib0",42.34851
11,"ic0",15.2742
11,"id0",1.400476
11,"iv0",1.280347
11,"pcm",0.760227
11,"pvm",0.188456
11,"ad",7440.65
11,"av",2303.58
11,"b0",0.594601
11,"cd",0.050784
11,"cu",0.0120696
11,"rm",69.8706
11,"d1",0.134435
11,"du",116.76
11,"rvm",96.848
11,"fd0",0.0008665
11,"fv0",0.125653
11,"gamma1",4.15154
11,"gammad",4.45006
11,"gammav",3.23733
11,"kb",1.97086
11,"kc",2.30987
11,"kd",0.392484
11,"kv",1.95175
11,"phi0",0.840138
11,"phi1",0.0006226
11,"theta0",0.0812601
11,"theta1",5.52e-05
11,"ub",8.70094
11,"uc",7.65523
11,"uv",8.6823
11,"ud",18.2686
12,"ib0",25.81544
12,"ic0",18.29618
12,"id0",4.91218
12,"iv0",1.731317
12,"pcm",0.844947
12,"pvm",0.1956
12,"ad",7742.8
12,"av",2341.69
12,"b0",0.751359
12,"cd",0.0667859
12,"cu",0.0010586
12,"rm",67.4504
12,"d1",0.17091
12,"du",100.245
12,"rvm",65.3752
12,"fd0",0.0158306
12,"fv0",0.220652
12,"gamma1",0.962007
12,"gammad",4.77826
12,"gammav",3.27199
12,"kb",2.45874
12,"kc",2.84976
12,"kd",0.51938
12,"kv",2.14414
12,"phi0",0.720483
12,"phi1",0.0027389
12,"theta0",0.0882518
12,"theta1",6.62e-05
12,"ub",9.07261
12,"uc",7.93916
12,"uv",6.26741
12,"ud",8.71059
13,"ib0",43.02147
13,"ic0",17.34235
13,"id0",1.849964
13,"iv0",0.7201932
13,"pcm",0.61108
13,"pvm",0.18541
13,"ad",8729.97
13,"av",2693.22
13,"b0",0.626825
13,"cd",0.105346
13,"cu",0.0052896
13,"rm",76.2264
13,"d1",0.146683
13,"du",100.59
13,"rvm",94.4277
13,"fd0",0.0224975
13,"fv0",0.273539
13,"gamma1",2.78447
13,"gammad",4.80989
13,"gammav",3.76444
13,"kb",2.41245
13,"kc",2.20841
13,"kd",0.6321
13,"kv",2.16355
13,"phi0",0.799244
13,"phi1",0.0005496
13,"theta0",0.168219
13,"theta1",1.54e-05
13,"ub",7.45064
13,"uc",4.44056
13,"uv",26.2296
13,"ud",18.3804
14,"ib0",53.02066
14,"ic0",12.31885
14,"id0",0.6926501
14,"iv0",0.8292117
14,"pcm",0.674475
14,"pvm",0.241813
14,"ad",7864.4
14,"av",1941.51
14,"b0",0.56169
14,"cd",0.128232
14,"cu",0.0106332
14,"rm",69.1103
14,"d1",0.142584
14,"du",104.974
14,"rvm",81.9695
14,"fd0",0.0112896
14,"fv0",0.149857
14,"gamma1",2.85686
14,"gammad",4.19216
14,"gammav",3.00747
14,"kb",2.41696
14,"kc",2.55092
14,"kd",0.385287
14,"kv",1.92479
14,"phi0",0.723324
14,"phi1",0.0029187
14,"theta0",0.0873935
14,"theta1",0.0001335
14,"ub",4.65127
14,"uc",6.36087
14,"uv",36.9006
14,"ud",7.94683
15,"ib0",71.1818
15,"ic0",17.26053
15,"id0",5.958335
15,"iv0",1.197026
15,"pcm",0.876028
15,"pvm",0.162259
15,"ad",7394.7
15,"av",3253.19
15,"b0",0.655175
15,"cd",0.0631155
15,"cu",0.0043755
15,"rm",65.2447
15,"d1",0.0744895
15,"du",112.044
15,"rvm",108.691
15,"fd0",0.027587
15,"fv0",0.138617
15,"gamma1",3.0619
15,"gammad",4.22773
15,"gammav",2.22132
15,"kb",1.58491
15,"kc",2.19641
15,"kd",0.447528
15,"kv",2.14336
15,"phi0",0.795801
15,"phi1",0.0011874
15,"theta0",0.0576415
15,"theta1",0.0001159
15,"ub",6.2977
15,"uc",5.54274
15,"uv",21.2544
15,"ud",10.3342
16,"ib0",29.67305
16,"ic0",19.51944
16,"id0",3.66439
16,"iv0",1.097483
16,"pcm",0.996844
16,"pvm",0.190385
16,"ad",8179.91
16,"av",2622.16
16,"b0",0.46982
16,"cd",0.0837032
16,"cu",0.0063553
16,"rm",62.6917
16,"d1",0.142457
16,"du",121.805
16,"rvm",87.7306
16,"fd0",0.0054246
16,"fv0",0.109959
16,"gamma1",2.18528
16,"gammad",4.77062
16,"gammav",3.50828
16,"kb",2.22853
16,"kc",2.82332
16,"kd",0.730748
16,"kv",2.29749
16,"phi0",0.752808
16,"phi1",0.0001928
16,"theta0",0.0623202
16,"theta1",0.0002502
16,"ub",8.33687
16,"uc",7.44155
16,"uv",34.9301
16,"ud",11.8416
17,"ib0",47.86592
17,"ic0",22.63551
17,"id0",0.8887794
17,"iv0",1.651482
17,"pcm",0.930051
17,"pvm",0.196301
17,"ad",8485.32
17,"av",3340.64
17,"b0",0.74964
17,"cd",0.058386
17,"cu",0.0077374
17,"rm",58.6917
17,"d1",0.117793
17,"du",112.969
17,"rvm",74.3376
17,"fd0",0.0139207
17,"fv0",0.189204
17,"gamma1",2.11305
17,"gammad",4.13219
17,"gammav",3.51994
17,"kb",1.93744
17,"kc",2.55109
17,"kd",0.313137
17,"kv",2.26171
17,"phi0",0.79319
17,"phi1",0.0004707
17,"theta0",0.0340693
17,"theta1",0.0001033
17,"ub",6.53718
17,"uc",2.75894
17,"uv",15.4622
17,"ud",5.3757
18,"ib0",73.8587
18,"ic0",17.53746
18,"id0",2.952458
18,"iv0",1.195471
18,"pcm",0.528481
18,"pvm",0.434912
18,"ad",7365.11
18,"av",3534.93
18,"b0",0.804094
18,"cd",0.038769
18,"cu",0.0024397
18,"rm",76.7759
18,"d1",0.191417
18,"du",103.7
18,"rvm",58.8734
18,"fd0",0.0002466
18,"fv0",0.0370618
18,"gamma1",1.32354
18,"gammad",4.24344
18,"gammav",2.14777
18,"kb",2.5362
18,"kc",2.10301
18,"kd",0.296264
18,"kv",1.80022
18,"phi0",0.752774
18,"phi1",0.0006352
18,"theta0",0.0386033
18,"theta1",0.000192
18,"ub",4.14673
18,"uc",6.0119
18,"uv",21.9721
18,"ud",8.8768
19,"ib0",82.25336
19,"ic0",16.2242
19,"id0",0.4342056
19,"iv0",0.8152109
19,"pcm",0.87972
19,"pvm",0.157546
19,"ad",9072.91
19,"av",2410.45
19,"b0",0.647017
19,"cd",0.0884003
19,"cu",0.0011786
19,"rm",61.5634
19,"d1",0.179754
19,"du",110.099
19,"rvm",85.4103
19,"fd0",0.0124833
19,"fv0",0.102651
19,"gamma1",1.91381
19,"gammad",5.34739
19,"gammav",2.70993
19,"kb",2.69652
19,"kc",1.99084
19,"kd",0.518722
19,"kv",1.91454
19,"phi0",0.55152
19,"phi1",5.6e-05
19,"theta0",0.0716221
19,"theta1",9.95e-05
19,"ub",5.27169
19,"uc",9.06034
19,"uv",16.2124
19,"ud",15.0023
20,"ib0",35.09384
20,"ic0",16.86736
20,"id0",2.481814
20,"iv0",1.318607
20,"pcm",0.65658
20,"pvm",0.328042
20,"ad",7815.89
20,"av",2251.77
20,"b0",0.764106
20,"cd",0.0735657
20,"cu",0.0099443
20,"rm",74.1479
20,"d1",0.130758
20,"du",106.974
20,"rvm",73.5537
20,"fd0",0.0169623
20,"fv0",0.0481365
20,"gamma1",1.68022
20,"gammad",4.98563
20,"gammav",2.36823
20,"kb",2.71434
20,"kc",2.14103
20,"kd",0.396592
20,"kv",1.82321
20,"phi0",0.806328
20,"phi1",0.0006994
20,"theta0",0.0388686
20,"theta1",0.0001432
20,"ub",6.28342
20,"uc",6.02362
20,"uv",9.4276
20,"ud",7.9912
21,"ib0",26.85348
21,"ic0",22.31967
21,"id0",0.5361088
21,"iv0",1.169636
21,"pcm",0.658094
21,"pvm",0.211224
21,"ad",8547.06
21,"av",2373.16
21,"b0",0.712415
21,"cd",0.0764684
21,"cu",0.0051386
21,"rm",76.8021
21,"d1",0.133432
21,"du",99.2707
21,"rvm",88.7687
21,"fd0",0.0056761
21,"fv0",0.131103
21,"gamma1",1.55799
21,"gammad",3.93771
21,"gammav",1.84717
21,"kb",2.17007
21,"kc",2.55887
21,"kd",0.36164
21,"kv",2.31117
21,"phi0",0.745038
21,"phi1",0.0022428
21,"theta0",0.10233
21,"theta1",0.000173
21,"ub",8.704
21,"uc",4.42882
21,"uv",30.6429
21,"ud",9.92182
22,"ib0",21.3689
22,"ic0",18.54686
22,"id0",1.954511
22,"iv0",0.7311983
22,"pcm",0.631381
22,"pvm",0.202084
22,"ad",7483.28
22,"av",2455.05
22,"b0",0.815506
22,"cd",0.0451631
22,"cu",0.003481
22,"rm",82.3436
22,"d1",0.253111
22,"du",114.866
22,"rvm",77.3218
22,"fd0",0.0078967
22,"fv0",0.18901
22,"gamma1",0.707548
22,"gammad",5.54071
22,"gammav",3.0484
22,"kb",2.23762
22,"kc",2.32871
22,"kd",0.477641
22,"kv",1.68543
22,"phi0",0.587234
22,"phi1",0.0008434
22,"theta0",0.102942
22,"theta1",7.7e-06
22,"ub",5.00613
22,"uc",6.7682
22,"uv",3.46776
22,"ud",4.7728
23,"ib0",44.02861
23,"ic0",14.77352
23,"id0",1.65289
23,"iv0",1.469107
23,"pcm",0.631271
23,"pvm",0.174271
23,"ad",8076.13
23,"av",2167.79
23,"b0",0.493448
23,"cd",0.0579871
23,"cu",0.000106
23,"rm",68.8603
23,"d1",0.124241
23,"du",107.757
23,"rvm",77.0731
23,"fd0",0.0087748
23,"fv0",0.212106
23,"gamma1",0.868728
23,"gammad",4.38788
23,"gammav",3.3803
23,"kb",1.41636
23,"kc",2.37598
23,"kd",0.48125
23,"kv",2.16718
23,"phi0",0.689608
23,"phi1",0.0012783
23,"theta0",0.0647406
23,"theta1",0.0002056
23,"ub",8.22146
23,"uc",11.4036
23,"uv",18.0034
23,"ud",3.97059
24,"ib0",82.85353
24,"ic0",16.58875
24,"id0",3.803824
24,"iv0",0.5123734
24,"pcm",0.666431
24,"pvm",0.263213
24,"ad",7684.95
24,"av",2690.06
24,"b0",0.551031
24,"cd",0.104916
24,"cu",0.0013093
24,"rm",71.4751
24,"d1",0.144013
24,"du",108.312
24,"rvm",62.8021
24,"fd0",0.0040743
24,"fv0",0.0493219
24,"gamma1",1.79735
24,"gammad",4.54494
24,"gammav",1.9569
24,"kb",1.52851
24,"kc",2.69611
24,"kd",0.541646
24,"kv",1.63819
24,"phi0",0.867509
24,"phi1",0.0019533
24,"theta0",0.100322
24,"theta1",9.05e-05
24,"ub",8.32713
24,"uc",8.87133
24,"uv",10.6836
24,"ud",4.9859
25,"ib0",31.38609
25,"ic0",23.68009
25,"id0",5.154089
25,"iv0",0.9655679
25,"pcm",0.838776
25,"pvm",0.190216
25,"ad",7656.98
25,"av",1994.59
25,"b0",0.585371
25,"cd",0.0364461
25,"cu",0.0110698
25,"rm",66.1676
25,"d1",0.203019
25,"du",92.5604
25,"rvm",71.2382
25,"fd0",0.0024673
25,"fv0",0.244485
25,"gamma1",0.811495
25,"gammad",4.92185
25,"gammav",3.07241
25,"kb",2.13538
25,"kc",2.72287
25,"kd",0.75401
25,"kv",1.94616
25,"phi0",0.826444
25,"phi1",0.0023512
25,"theta0",0.139163
25,"theta1",3.71e-05
25,"ub",6.33058
25,"uc",4.57753
25,"uv",8.35388
25,"ud",10.7901
26,"ib0",35.92457
26,"ic0",18.36832
26,"id0",1.3145
26,"iv0",0.852843
26,"pcm",0.716097
26,"pvm",0.189141
26,"ad",8698.42
26,"av",3688.25
26,"b0",0.705822
26,"cd",0.0574445
26,"cu",0.0053718
26,"rm",71.3801
26,"d1",0.106392
26,"du",136.413
26,"rvm",75.9568
26,"fd0",0.0017555
26,"fv0",0.0852395
26,"gamma1",2.96702
26,"gammad",3.71224
26,"gammav",0.915134
26,"kb",2.20438
26,"kc",2.16682
26,"kd",0.381467
26,"kv",1.95269
26,"phi0",0.925479
26,"phi1",0.0002801
26,"theta0",0.127295
26,"theta1",3.81e-05
26,"ub",4.41405
26,"uc",6.24787
26,"uv",1.252
26,"ud",11.1409
27,"ib0",86.01358
27,"ic0",18.2446
27,"id0",2.183322
27,"iv0",0.5268129
27,"pcm",0.592847
27,"pvm",0.174786
27,"ad",8284.64
27,"av",2192.92
27,"b0",0.673603
27,"cd",0.0580068
27,"cu",0.0032097
27,"rm",70.9615
27,"d1",0.202783
27,"du",106.528
27,"rvm",75.859
27,"fd0",0.0147009
27,"fv0",0.0765442
27,"gamma1",1.87299
27,"gammad",5.13128
27,"gammav",3.2306
27,"kb",2.27857
27,"kc",2.13932
27,"kd",0.622975
27,"kv",1.47358
27,"phi0",0.651587
27,"phi1",0.000348
27,"theta0",0.0754993
27,"theta1",0.0001012
27,"ub",4.27709
27,"uc",7.44642
27,"uv",2.91303
27,"ud",12.1109
28,"ib0",56.13578
28,"ic0",23.45803
28,"id0",2.447304
28,"iv0",1.451265
28,"pcm",0.794096
28,"pvm",0.158767
28,"ad",7026.89
28,"av",2768.41
28,"b0",0.622299
28,"cd",0.07491
28,"cu",0.0084575
28,"rm",67.3142
28,"d1",0.17
28,"du",108.107
28,"rvm",77.1814
28,"fd0",0.0139422
28,"fv0",0.216676
28,"gamma1",2.55243
28,"gammad",4.89466
28,"gammav",2.88444
28,"kb",2.96589
28,"kc",2.4711
28,"kd",0.426561
28,"kv",1.98218
28,"phi0",0.534282
28,"phi1",0.0010374
28,"theta0",0.0904951
28,"theta1",3.5e-05
28,"ub",5.08834
28,"uc",6.60462
28,"uv",5.43607
28,"ud",14.0736
29,"ib0",37.38553
29,"ic0",21.81864
29,"id0",1.185266
29,"iv0",0.6874939
29,"pcm",0.797792
29,"pvm",0.138287
29,"ad",7656.48
29,"av",2811.14
29,"b0",0.614353
29,"cd",0.0710208
29,"cu",0.0153401
29,"rm",73.5892
29,"d1",0.153429
29,"du",113.496
29,"rvm",90.9068
29,"fd0",0.0005056
29,"fv0",0.310079
29,"gamma1",1.89759
29,"gammad",4.59854
29,"gammav",3.09263
29,"kb",2.13454
29,"kc",2.8915
29,"kd",0.422647
29,"kv",2.15798
29,"phi0",0.761847
29,"phi1",0.0021553
29,"theta0",0.127564
29,"theta1",4.17e-05
29,"ub",4.13611
29,"uc",8.02463
29,"uv",32.2834
29,"ud",13.0004
30,"ib0",45.48977
30,"ic0",19.50887
30,"id0",0.358722
30,"iv0",1.094681
30,"pcm",0.853298
30,"pvm",0.250109
30,"ad",8042.95
30,"av",2928.15
30,"b0",0.615108
30,"cd",0.0468814
30,"cu",0.0120906
30,"rm",67.3483
30,"d1",0.119369
30,"du",127.741
30,"rvm",64.0721
30,"fd0",0.0002631
30,"fv0",0.102145
30,"gamma1",3.50979
30,"gammad",4.13554
30,"gammav",2.88285
30,"kb",2.10453
30,"kc",2.5066
30,"kd",0.30784
30,"kv",1.73094
30,"phi0",0.687109
30,"phi1",0.0013691
30,"theta0",0.0457731
30,"theta1",6.35e-05
30,"ub",7.34245
30,"uc",6.39787
30,"uv",4.05086
30,"ud",10.501
31,"ib0",38.64576
31,"ic0",14.63851
31,"id0",4.018106
31,"iv0",1.306224
31,"pcm",0.641392
31,"pvm",0.186984
31,"ad",7843.63
31,"av",2766.87
31,"b0",0.545891
31,"cd",0.0571919
31,"cu",0.0046861
31,"rm",72.6324
31,"d1",0.193196
31,"du",108.062
31,"rvm",77.2403
31,"fd0",0.0003645
31,"fv0",0.157986
31,"gamma1",4.05773
31,"gammad",5.2461
31,"gammav",1.71368
31,"kb",1.86939
31,"kc",2.24283
31,"kd",0.628091
31,"kv",1.9246
31,"phi0",0.759256
31,"phi1",0.000184
31,"theta0",0.0874481
31,"theta1",0.0001007
31,"ub",8.17725
31,"uc",4.08392
31,"uv",5.94411
31,"ud",18.2012
32,"ib0",70.88625
32,"ic0",16.03831
32,"id0",2.891145
32,"iv0",0.9887245
32,"pcm",0.73906
32,"pvm",0.248972
32,"ad",7945.63
32,"av",2209.2
32,"b0",0.479909
32,"cd",0.0761933
32,"cu",0.0068071
32,"rm",72.4962
32,"d1",0.145419
32,"du",114.896
32,"rvm",62.8951
32,"fd0",0.0183219
32,"fv0",0.138694
32,"gamma1",1.78203
32,"gammad",4.95427
32,"gammav",4.35212
32,"kb",2.56936
32,"kc",2.43644
32,"kd",0.557738
32,"kv",1.98542
32,"phi0",0.938024
32,"phi1",0.0008802
32,"theta0",0.0603422
32,"theta1",0.0001797
32,"ub",4.84526
32,"uc",8.28148
32,"uv",16.0721
32,"ud",13.764
33,"ib0",81.16618
33,"ic0",22.09816
33,"id0",0.707591
33,"iv0",1.606959
33,"pcm",0.659678
33,"pvm",0.156881
33,"ad",7446.73
33,"av",2030.03
33,"b0",0.765767
33,"cd",0.0590594
33,"cu",0.0073359
33,"rm",69.3047
33,"d1",0.158484
33,"du",95.4106
33,"rvm",99.0268
33,"fd0",0.0167067
33,"fv0",0.19928
33,"gamma1",1.53019
33,"gammad",4.48518
33,"gammav",3.41443
33,"kb",2.20755
33,"kc",2.22295
33,"kd",0.374338
33,"kv",2.11407
33,"phi0",0.8215
33,"phi1",0.0008584
33,"theta0",0.0494044
33,"theta1",0.0001516
33,"ub",5.71826
33,"uc",3.03061
33,"uv",22.2819
33,"ud",16.2305
34,"ib0",43.1241
34,"ic0",19.86911
34,"id0",8.410633
34,"iv0",1.472596
34,"pcm",0.743348
34,"pvm",0.154545
34,"ad",7837.13
34,"av",1865.44
34,"b0",0.675056
34,"cd",0.0608903
34,"cu",0.0012092
34,"rm",68.1483
34,"d1",0.164489
34,"du",132.678
34,"rvm",75.3868
34,"fd0",0.0047394
34,"fv0",0.132491
34,"gamma1",0.7259
34,"gammad",4.11683
34,"gammav",3.28798
34,"kb",1.73354
34,"kc",2.26637
34,"kd",0.738374
34,"kv",1.93463
34,"phi0",0.511216
34,"phi1",0.0001329
34,"theta0",0.0750199
34,"theta1",0.000163
34,"ub",8.27424
34,"uc",4.8672
34,"uv",0.97663
34,"ud",8.71012
35,"ib0",28.99302
35,"ic0",28.29492
35,"id0",1.531754
35,"iv0",2.0147
35,"pcm",0.828183
35,"pvm",0.130294
35,"ad",7885.55
35,"av",1812.71
35,"b0",0.725752
35,"cd",0.0392204
35,"cu",0.0014879
35,"rm",68.6505
35,"d1",0.211474
35,"du",105.229
35,"rvm",76.6368
35,"fd0",0.0038926
35,"fv0",0.365573
35,"gamma1",0.435897
35,"gammad",5.33991
35,"gammav",1.54491
35,"kb",2.05929
35,"kc",2.64598
35,"kd",0.482134
35,"kv",2.10865
35,"phi0",0.62416
35,"phi1",0.0001531
35,"theta0",0.075252
35,"theta1",7.84e-05
35,"ub",14.7063
35,"uc",3.90523
35,"uv",2.46223
35,"ud",16.3325
36,"ib0",33.04935
36,"ic0",14.25526
36,"id0",0.4130028
36,"iv0",1.384275
36,"pcm",0.803917
36,"pvm",0.170348
36,"ad",8637.25
36,"av",2912.52
36,"b0",0.444533
36,"cd",0.0815373
36,"cu",0.0053392
36,"rm",72.2212
36,"d1",0.156396
36,"du",115.674
36,"rvm",82.0279
36,"fd0",0.011359
36,"fv0",0.104855
36,"gamma1",2.62625
36,"gammad",4.98438
36,"gammav",2.56493
36,"kb",2.32343
36,"kc",2.20733
36,"kd",0.42698
36,"kv",1.88184
36,"phi0",0.939513
36,"phi1",9.83e-05
36,"theta0",0.0817956
36,"theta1",6.87e-05
36,"ub",6.60187
36,"uc",7.16992
36,"uv",2.37478
36,"ud",14.4414
37,"ib0",34.6643
37,"ic0",18.75063
37,"id0",0.3170672
37,"iv0",1.601143
37,"pcm",0.632221
37,"pvm",0.146615
37,"ad",8539.91
37,"av",2223.37
37,"b0",0.736987
37,"cd",0.0693037
37,"cu",0.0093263
37,"rm",74.7993
37,"d1",0.130799
37,"du",104.33
37,"rvm",99.0347
37,"fd0",0.0030272
37,"fv0",0.347794
37,"gamma1",1.71435
37,"gammad",4.14903
37,"gammav",2.28028
37,"kb",2.17573
37,"kc",2.16618
37,"kd",0.272782
37,"kv",2.27105
37,"phi0",0.841657
37,"phi1",7.6e-05
37,"theta0",0.0744344
37,"theta1",0.0001043
37,"ub",11.8621
37,"uc",5.97066
37,"uv",20.1651
37,"ud",12.6592
38,"ib0",113.705
38,"ic0",21.50179
38,"id0",3.150202
38,"iv0",1.580413
38,"pcm",0.420769
38,"pvm",0.099537
38,"ad",7643.34
38,"av",3118.81
38,"b0",0.765616
38,"cd",0.0563579
38,"cu",0.010656
38,"rm",87.1081
38,"d1",0.146775
38,"du",99.6407
38,"rvm",109.989
38,"fd0",0.0076696
38,"fv0",0.19818
38,"gamma1",2.45439
38,"gammad",5.18153
38,"gammav",2.13097
38,"kb",2.19272
