"","scenario","mean","lower","upper"
"1","Data",0.953616706040065,0.835520744743517,0.995108645845886
"2","80%",0.768823902512305,0.609905691349707,0.885212832185495
"3","60%",0.611988352963737,0.432974422671152,0.777205297699152
